"Agent","DateTime","Status"
"askupniewska","Feb 02, 2022 07:02:14 pm","Seller_Extra_ACW"
"askupniewska","Feb 02, 2022 07:02:16 pm","Available"
"askupniewska","Feb 02, 2022 07:08:04 pm","Joining Customer"
"askupniewska","Feb 02, 2022 07:08:04 pm","Connecting Agent"
"askupniewska","Feb 02, 2022 07:08:05 pm","Connected"
"askupniewska","Feb 02, 2022 07:08:10 pm","Busy"
"askupniewska","Feb 02, 2022 07:38:05 pm","Wrap Up"
"askupniewska","Feb 02, 2022 07:38:07 pm","Seller_Extra_ACW"
"askupniewska","Feb 02, 2022 07:42:06 pm","Available"
"askupniewska","Feb 02, 2022 07:44:38 pm","Joining Customer"
"askupniewska","Feb 02, 2022 07:44:38 pm","Connecting Agent"
"askupniewska","Feb 02, 2022 07:44:39 pm","Connected"
"askupniewska","Feb 02, 2022 07:44:44 pm","Busy"
"askupniewska","Feb 02, 2022 08:45:21 pm","Wrap Up"
"askupniewska","Feb 02, 2022 08:45:23 pm","Seller_Extra_ACW"
"askupniewska","Feb 02, 2022 08:49:26 pm","Available"
"askupniewska","Feb 02, 2022 08:50:26 pm","Seller_Extra_ACW"
"askupniewska","Feb 02, 2022 08:52:39 pm","Available"
"askupniewska","Feb 02, 2022 08:54:20 pm","Seller_Extra_ACW"
"askupniewska","Feb 02, 2022 08:54:21 pm","Available"
"askupniewska","Feb 02, 2022 08:54:53 pm","Seller_Extra_ACW"
"askupniewska","Feb 02, 2022 08:54:55 pm","Available"
"askupniewska","Feb 02, 2022 08:58:00 pm","Seller_Extra_ACW"
"askupniewska","Feb 02, 2022 08:58:02 pm","Available"
"askupniewska","Feb 02, 2022 09:00:37 pm","Joining Customer"
"askupniewska","Feb 02, 2022 09:00:37 pm","Connecting Agent"
"askupniewska","Feb 02, 2022 09:00:38 pm","Connected"
"askupniewska","Feb 02, 2022 09:00:43 pm","Busy"
"askupniewska","Feb 02, 2022 09:02:02 pm","Wrap Up"
"askupniewska","Feb 02, 2022 09:02:04 pm","Seller_Extra_ACW"
"askupniewska","Feb 02, 2022 09:04:08 pm","Break"
"askupniewska","Feb 02, 2022 09:14:35 pm","Available"
"askupniewska","Feb 02, 2022 09:15:47 pm","Joining Customer"
"askupniewska","Feb 02, 2022 09:15:48 pm","Connecting Agent"
"askupniewska","Feb 02, 2022 09:15:49 pm","Connected"
"askupniewska","Feb 02, 2022 09:15:55 pm","Busy"
"askupniewska","Feb 02, 2022 09:24:12 pm","Wrap Up"
"askupniewska","Feb 02, 2022 09:24:13 pm","Seller_Extra_ACW"
"askupniewska","Feb 02, 2022 09:29:07 pm","Available"
"askupniewska","Feb 02, 2022 09:29:29 pm","Seller_Extra_ACW"
"askupniewska","Feb 02, 2022 09:29:58 pm","Available"
"askupniewska","Feb 02, 2022 09:30:19 pm","Seller_Extra_ACW"
"askupniewska","Feb 02, 2022 09:30:43 pm","Available"
"askupniewska","Feb 02, 2022 09:31:14 pm","Joining Customer"
"askupniewska","Feb 02, 2022 09:31:15 pm","Connecting Agent"
"askupniewska","Feb 02, 2022 09:31:16 pm","Connected"
"askupniewska","Feb 02, 2022 09:31:20 pm","Busy"
"askupniewska","Feb 02, 2022 09:55:57 pm","Wrap Up"
"askupniewska","Feb 02, 2022 09:55:59 pm","Seller_Extra_ACW"
"askupniewska","Feb 02, 2022 09:57:05 pm","Available"
"askupniewska","Feb 02, 2022 10:00:23 pm","Seller_Extra_ACW"
"askupniewska","Feb 02, 2022 10:00:24 pm","Available"
"askupniewska","Feb 02, 2022 10:06:58 pm","Joining Customer"
"askupniewska","Feb 02, 2022 10:06:59 pm","Connecting Agent"
"askupniewska","Feb 02, 2022 10:07:00 pm","Connected"
"askupniewska","Feb 02, 2022 10:07:04 pm","Busy"
"askupniewska","Feb 02, 2022 10:33:05 pm","Wrap Up"
"askupniewska","Feb 02, 2022 10:33:07 pm","Seller_Extra_ACW"
"askupniewska","Feb 02, 2022 10:35:58 pm","Available"
"askupniewska","Feb 02, 2022 10:35:58 pm","Joining Customer"
"askupniewska","Feb 02, 2022 10:35:59 pm","Connecting Agent"
"askupniewska","Feb 02, 2022 10:36:00 pm","Connected"
"askupniewska","Feb 02, 2022 10:36:05 pm","Busy"
"askupniewska","Feb 02, 2022 10:45:20 pm","Wrap Up"
"askupniewska","Feb 02, 2022 10:45:22 pm","Seller_Extra_ACW"
"askupniewska","Feb 02, 2022 10:47:21 pm","Available"
"askupniewska","Feb 02, 2022 10:47:21 pm","Joining Customer"
"askupniewska","Feb 02, 2022 10:47:22 pm","Connecting Agent"
"askupniewska","Feb 02, 2022 10:47:23 pm","Connected"
"askupniewska","Feb 02, 2022 10:47:28 pm","Busy"
"askupniewska","Feb 02, 2022 10:50:31 pm","Wrap Up"
"askupniewska","Feb 02, 2022 10:50:33 pm","Seller_Extra_ACW"
"askupniewska","Feb 02, 2022 10:52:11 pm","Available"
"askupniewska","Feb 02, 2022 10:53:30 pm","Joining Customer"
"askupniewska","Feb 02, 2022 10:53:31 pm","Connecting Agent"
"askupniewska","Feb 02, 2022 10:53:32 pm","Connected"
"askupniewska","Feb 02, 2022 10:53:37 pm","Busy"
"askupniewska","Feb 02, 2022 11:07:43 pm","Wrap Up"
"askupniewska","Feb 02, 2022 11:07:48 pm","Seller_Extra_ACW"
"askupniewska","Feb 02, 2022 11:12:00 pm","Offline"
"askupniewska","Feb 01, 2022 12:01:18 am","Offline"
